ZCTA5CE10,AFFGEOID10,GEOID10,ALAND10,AWATER10,group
36522,8600000US36522,36522,570006940,3241962,7
35586,8600000US35586,35586,472580465,892816,7
85634,8600000US85634,85634,7443310770,98313,7
71854,8600000US71854,71854,721235775,14713194,7
19963,8600000US19963,19963,276242161,21115750,7
33143,8600000US33143,33143,20447751,642453,7
06373,8600000US06373,06373,8767544,45597,7
81303,8600000US81303,81303,558741122,699828,7
81324,8600000US81324,81324,1057526498,10768,7
85326,8600000US85326,85326,954864563,159985,7
33161,8600000US33161,33161,14162783,146965,7
81621,8600000US81621,81621,575964462,3053717,7
20017,8600000US20017,20017,5720512,746,7
51510,8600000US51510,51510,4841210,387357,7
31543,8600000US31543,31543,323500837,1264395,7
04654,8600000US04654,04654,259083108,35004077,7
41005,8600000US41005,41005,151209365,7865406,7
01860,8600000US01860,01860,21907318,1027094,7
02632,8600000US02632,02632,18957570,3780162,7
48079,8600000US48079,48079,108001443,3689939,7
49953,8600000US49953,49953,1087269320,3162880,7
48144,8600000US48144,48144,19690381,25908,7
59935,8600000US59935,59935,2329141525,13866476,7
59871,8600000US59871,59871,868011082,1477776,7
69026,8600000US69026,69026,130348894,0,7
59544,8600000US59544,59544,1390417850,4960875,7
39520,8600000US39520,39520,240184963,10643347,7
49884,8600000US49884,49884,729104319,28682810,7
07720,8600000US07720,07720,1584906,54490,7
03079,8600000US03079,03079,64037479,2915952,7
49677,8600000US49677,49677,341327873,2900643,7
48139,8600000US48139,48139,1784365,0,7
65560,8600000US65560,65560,1773052144,4004297,7
97367,8600000US97367,97367,109346807,2945126,7
73855,8600000US73855,73855,350038584,2600538,7
58765,8600000US58765,58765,415252613,5894115,7
57218,8600000US57218,57218,181113765,315826,7
11360,8600000US11360,11360,3721637,0,7
57551,8600000US57551,57551,1880502417,11907268,7
57720,8600000US57720,57720,3354842872,10565195,7
16507,8600000US16507,16507,5550084,2349379,7
79714,8600000US79714,79714,1989986255,101667,7
37738,8600000US37738,37738,543917887,0,7
79846,8600000US79846,79846,1138822676,70050,7
78411,8600000US78411,78411,15526657,14966,7
98586,8600000US98586,98586,350850906,101786696,7
24484,8600000US24484,24484,461245072,9822654,7
74871,8600000US74871,74871,440084210,3316712,7
05904,8600000US05904,05904,1479506,240607,7
23651,8600000US23651,23651,1987424,5748505,7
84728,8600000US84728,84728,869047979,1202554,7
73169,8600000US73169,73169,17211595,53059,7
53013,8600000US53013,53013,74680604,1838258,7
26033,8600000US26033,26033,240994267,793803,7
35010,8600000US35010,35010,563567870,66304684,7
35058,8600000US35058,35058,178130163,3027350,7
